CVE-ID,Description,CVSS Base Score,AV,AC,PR,UI,S,C,I,A
CVE-2007-0158,thttpd 2007 has buffer underflow.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-0899,There is a possible heap overflow in libclamav/fsg.c before 0.100.0.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-2479,"Cerulean Studios Trillian Pro before 3.1.5.1 allows remote attackers to obtain potentially sensitive information via long CTCP PING messages that contain UTF-8 characters, which generates a malformed response that is not truncated by a newline, which can cause portions of a server message to be sent to the attacker.",5.9,AV:N,AC:H,PR:N,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2007-3732,"In Linux 2.6 before 2.6.23, the TRACE_IRQS_ON function in iret_exc calls a C function without ensuring that the segments are set properly. The kernel's %fs needs to be restored before the call in TRACE_IRQS_ON and before enabling interrupts, so that ""current"" references work. Without this, ""current"" used in the window between iret_exc and the middle of error_code where %fs is reset, would crash.",5.5,AV:L,AC:L,PR:L,UI:N,/S:U,/C:N,/I:N,/A:H
CVE-2007-3915,Mondo 2.24 has insecure handling of temporary files.,9.1,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:N
CVE-2007-4773,Systrace before 1.6.0 has insufficient escape policy enforcement.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-4774,"The Linux kernel before 2.4.36-rc1 has a race condition. It was possible to bypass systrace policies by flooding the ptraced process with SIGCONT signals, which can can wake up a PTRACED process.",5.9,AV:N,AC:H,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2007-5199,A single byte overflow in catalogue.c in X.Org libXfont 1.3.1 allows remote attackers to have unspecified impact.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-5341,Remote code execution in the Venkman script debugger in Mozilla Firefox before 2.0.0.8.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-5743,"viewvc 1.0.3 allows improper access control to files in a repository when using the ""forbidden"" configuration option.",7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2007-6745,clamav 0.91.2 suffers from a floating point exception when using ScanOLE2.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-6759,"Dataprobe iBootBar (with 2007-09-20 and possibly later released firmware) allows remote attackers to bypass authentication, and conduct power-cycle attacks on connected devices, via a DCRABBIT cookie.",9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-6760,"Dataprobe iBootBar (with 2007-09-20 and possibly later beta firmware) allows remote attackers to bypass authentication, and conduct power-cycle attacks on connected devices, via a DCCOOKIE cookie.",9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-6761,"drivers/media/video/videobuf-vmalloc.c in the Linux kernel before 2.6.24 does not initialize videobuf_mapping data structures, which allows local users to trigger an incorrect count value and videobuf leak via unspecified vectors, a different vulnerability than CVE-2010-5321.",7.8,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-6762,"In the Linux kernel before 2.6.20, there is an off-by-one bug in net/netlabel/netlabel_cipso_v4.c where it is possible to overflow the doi_def->tags[] array.",9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2007-6763,"SAS Drug Development (SDD) before 32DRG02 mishandles logout actions, which allows a user (who was previously logged in) to access resources by pressing a back or forward button in a web browser.",8.8,AV:N,AC:L,PR:L,UI:N,/S:U,/C:H,/I:H,/A:H
