CVE-ID,Description,CVSS Base Score,AV,AC,PR,UI,S,C,I,A
CVE-2012-0046,mediawiki allows deleted text to be exposed,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-0049,OpenTTD before 1.1.5 contains a Denial of Service (slow read attack) that prevents users from joining the server.,4.3,AV:N,AC:L,PR:L,UI:N,/S:U,/C:N,/I:N,/A:L
CVE-2012-0051,Tahoe-LAFS 1.9.0 fails to ensure integrity which allows remote attackers to corrupt mutable files or directories upon retrieval.,7.4,AV:N,AC:H,PR:N,UI:N,/S:U,/C:H,/I:H,/A:N
CVE-2012-0070,spamdyke prior to 4.2.1: STARTTLS reveals plaintext,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-0334,Cisco IronPort Web Security Appliance AsyncOS software prior to 7.5 has a SSL Certificate Caching vulnerability which could allow man-in-the-middle attacks,6.4,AV:A,AC:H,PR:N,UI:R,/S:U,/C:H,/I:H,/A:N
CVE-2012-0384,"Cisco IOS 12.2 through 12.4 and 15.0 through 15.2 and IOS XE 2.1.x through 2.6.x and 3.1.xS before 3.1.2S, 3.2.xS through 3.4.xS before 3.4.2S, 3.5.xS before 3.5.1S, and 3.1.xSG and 3.2.xSG before 3.2.2SG, when AAA authorization is enabled, allow remote authenticated users to bypass intended access restrictions and execute commands via a (1) HTTP or (2) HTTPS session, aka Bug ID CSCtr91106.",7.2,AV:N,AC:L,PR:H,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-0433,"The install-chef-suse.sh script shipped with crowbar before 2012-10-02 is creating files containing confidential data with insecure permissions, allowing local users to read confidential data.",5.5,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-0694,"SugarCRM CE <= 6.3.1 contains scripts that use ""unserialize()"" with user controlled input which allows remote attackers to execute arbitrary PHP code.",9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-0699,Multiple cross-site request forgery (CSRF) vulnerabilities in Family Connections CMS (aka FCMS) 2.9 and earlier allow remote attackers to hijack the authentication of arbitrary users for requests that (1) add news via an add action to familynews.php or (2) add a prayer via an add action to prayers.php.,8.8,AV:N,AC:L,PR:N,UI:R,/S:U,/C:H,/I:H,/A:H
CVE-2012-0771,"Adobe Shockwave Player before 11.6.4.634 allows attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2012-0759.",8.8,AV:N,AC:L,PR:N,UI:R,/S:U,/C:H,/I:H,/A:H
CVE-2012-0803,The WS-SP UsernameToken policy in Apache CXF 2.4.5 and 2.5.1 allows remote attackers to bypass authentication by sending an empty UsernameToken as part of a SOAP request.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-0812,PostfixAdmin 2.3.4 has multiple XSS vulnerabilities,6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-0824,gnusound 0.7.5 has format string issue,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-0842,surf: cookie jar has read access from other local user,5.5,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-0843,uzbl: Information disclosure via world-readable cookies storage file,5.5,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-0877,PyXML: Hash table collisions CPU usage Denial of Service,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:N,/A:H
CVE-2012-0880,Apache Xerces-C++ allows remote attackers to cause a denial of service (CPU consumption) via a crafted message sent to an XML service that causes hash table collisions.,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:N,/A:H
CVE-2012-0881,"Apache Xerces2 Java Parser before 2.12.0 allows remote attackers to cause a denial of service (CPU consumption) via a crafted message to an XML service, which triggers hash table collisions.",7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:N,/A:H
CVE-2012-0941,"Multiple cross-site scripting (XSS) vulnerabilities in Fortinet FortiGate UTM WAF appliances with FortiOS 4.3.x before 4.3.6 allow remote attackers to inject arbitrary web script or HTML via vectors involving the (1) Endpoint Monitor, (2) Dialup List, or (3) Log&Report Display modules, or the fields_sorted_opt parameter to (4) user/auth/list or (5) endpointcompliance/app_detect/predefined_sig_list.",6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-0945,whoopsie-daisy before 0.1.26: Root user can remove arbitrary files,4.9,AV:N,AC:L,PR:H,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-1001,Multiple cross-site scripting (XSS) vulnerabilities in Chyrp before 2.1.2 and before 2.5 Beta 2 allow remote attackers to inject arbitrary web script or HTML via the (1) content parameter to includes/ajax.php or (2) body parameter to includes/error.php.,6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-1104,A Security Bypass vulnerability exists in the phpCAS 1.2.2 library from the jasig project due to the way proxying of services are managed.,5.3,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:L,/A:N
CVE-2012-1105,An Information Disclosure vulnerability exists in the Jasig Project php-pear-CAS 1.2.2 package in the /tmp directory. The Central Authentication Service client library archives the debug logging file in an insecure manner.,5.5,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-1109,mwlib 0.13 through 0.13.4 has a denial of service vulnerability when parsing #iferror magic functions,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:N,/A:H
CVE-2012-1114,A Cross-Site Scripting (XSS) vulnerability exists in LDAP Account Manager (LAM) Pro 3.6 in the filter parameter to cmd.php in an export and exporter_id action. and the filteruid parameter to list.php.,6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-1115,"A Cross-Site Scripting (XSS) vulnerability exists in LDAP Account Manager (LAM) Pro 3.6 in the export, add_value_form, and dn parameters to cmd.php.",6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-1155,Moodle has a database activity export permission issue where the export function of the database activity module exports all entries even those from groups the user does not belong to,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-1156,Moodle before 2.2.2 has users' private files included in course backups,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-1157,Moodle before 2.2.2 has a default repository capabilities issue where all repositories are viewable by all users by default,4.3,AV:N,AC:L,PR:L,UI:N,/S:U,/C:L,/I:N,/A:N
CVE-2012-1158,Moodle before 2.2.2 has a course information leak in gradebook where users are able to see hidden grade items in export,4.3,AV:N,AC:L,PR:L,UI:N,/S:U,/C:L,/I:N,/A:N
CVE-2012-1159,Moodle before 2.2.2: Overview report allows users to see hidden courses,4.3,AV:N,AC:L,PR:L,UI:N,/S:U,/C:L,/I:N,/A:N
CVE-2012-1160,Moodle before 2.2.2 has a permission issue in Forum Subscriptions where unenrolled users can subscribe/unsubscribe via mod/forum/index.php,2.7,AV:N,AC:L,PR:H,UI:N,/S:U,/C:N,/I:L,/A:N
CVE-2012-1161,Moodle before 2.2.2: Course information leak via hidden courses being displayed in tag search results,4.3,AV:N,AC:L,PR:L,UI:N,/S:U,/C:L,/I:N,/A:N
CVE-2012-1168,Moodle before 2.2.2 has a password and web services issue where when the user profile is updated the user password is reset if not specified.,8.2,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:H,/A:L
CVE-2012-1169,"Moodle before 2.2.2 has Personal information disclosure, when administrative setting users name display is set to first name only full names are shown in page breadcrumbs.",5.3,AV:N,AC:L,PR:N,UI:N,/S:U,/C:L,/I:N,/A:N
CVE-2012-1170,Moodle before 2.2.2 has an external enrolment plugin context check issue where capability checks are not thorough,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-1187,Bitlbee does not drop extra group privileges correctly in unix.c,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-1257,"Pidgin 2.10.0 uses DBUS for certain cleartext communication, which allows local users to obtain sensitive information via a dbus session monitor.",5.5,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:N,/A:N
CVE-2012-1258,"cgi-bin/userprefs.cgi in Plixer International Scrutinizer NetFlow & sFlow Analyzer before 9.0.1.19899 does not validate user permissions, which allow remote attackers to add user accounts with administrator privileges via the newuser, pwd, and selectedUserGroup parameters.",6.5,AV:N,AC:L,PR:L,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-1259,"Multiple SQL injection vulnerabilities in Plixer International Scrutinizer NetFlow & sFlow Analyzer 8.6.2.16204, and possibly other versions before 9.0.1.19899, allow remote attackers to execute arbitrary SQL commands via the (1) addip parameter to cgi-bin/scrut_fa_exclusions.cgi, (2) getPermissionsAndPreferences parameter to cgi-bin/login.cgi, or (3) possibly certain parameters to d4d/alarms.php as demonstrated by the search_str parameter.",9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-1260,"Cross-site scripting (XSS) vulnerability in cgi-bin/userprefs.cgi in Plixer International Scrutinizer NetFlow & sFlow Analyzer 8.6.2.16204, and possibly other versions before 9.0.1.19899, allows remote attackers to inject arbitrary web script or HTML via the newUser parameter. NOTE: this might not be a vulnerability, since an administrator might already have the privileges to create arbitrary script.",6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-1261,Cross-site scripting (XSS) vulnerability in cgi-bin/scrut_fa_exclusions.cgi in Plixer International Scrutinizer NetFlow and sFlow Analyzer 8.6.2.16204 and other versions before 9.0.1.19899 allows remote attackers to inject arbitrary web script or HTML via the standalone parameter.,6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-1301,"The FeedProxy.aspx script in Umbraco 4.7.0 allows remote attackers to proxy requests on their behalf via the ""url"" parameter.",9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-1316,Cisco IronPort Web Security Appliance does not check for certificate revocation which could lead to MITM attacks,5.9,AV:N,AC:H,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-1326,Cisco IronPort Web Security Appliance up to and including 7.5 does not validate the basic constraints of the certificate authority which could lead to MITM attacks,7.4,AV:N,AC:H,PR:N,UI:N,/S:U,/C:H,/I:H,/A:N
CVE-2012-1342,"Cisco Carrier Routing System (CRS) 3.9, 4.0, and 4.1 allows remote attackers to bypass ACL entries via fragmented packets, aka Bug ID CSCtj10975.",5.8,AV:N,AC:L,PR:N,UI:N,/S:C,/C:N,/I:L,/A:N
CVE-2012-1516,"The VMX process in VMware ESXi 3.5 through 4.1 and ESX 3.5 through 4.1 does not properly handle RPC commands, which allows guest OS users to cause a denial of service (memory overwrite and process crash) or possibly execute arbitrary code on the host OS via vectors involving data pointers.",9.9,AV:N,AC:L,PR:L,UI:N,/S:C,/C:H,/I:H,/A:H
CVE-2012-1562,Joomla! core before 2.5.3 allows unauthorized password change.,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-1563,Joomla! before 2.5.3 allows Admin Account Creation.,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-1572,OpenStack Keystone: extremely long passwords can crash Keystone by exhausting stack space,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:N,/A:H
CVE-2012-1577,lib/libc/stdlib/random.c in OpenBSD returns 0 when seeded with 0.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-1592,"A local code execution issue exists in Apache Struts2 when processing malformed XSLT files, which could let a malicious user upload and execute arbitrary files.",8.8,AV:N,AC:L,PR:L,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-1615,A Privilege Escalation vulnerability exits in Fedoraproject Sectool due to an incorrect DBus file.,7.8,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-1622,Apache OFBiz 10.04.x before 10.04.02 allows remote attackers to execute arbitrary code via unspecified vectors.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-1637,"Cross-site scripting vulnerability (XSS) in the Quick Tabs module 6.x-2.x before 6.x-2.1, 6.x-3.x before 6.x-3.1, and 7.x-3.x before 7.x-3.3 for Drupal.",4.8,AV:N,AC:L,PR:H,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-1915,EllisLab CodeIgniter 2.1.2 allows remote attackers to bypass the xss_clean() Filter and perform XSS attacks.,6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-2078,Cross-site scripting (XSS) vulnerability in the Activity module 6.x-1.x for Drupal.,4.8,AV:N,AC:L,PR:H,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-2079,A cross-site request forgery (CSRF) vulnerability in the Activity module 6.x-1.x for Drupal.,8.8,AV:N,AC:L,PR:N,UI:R,/S:U,/C:H,/I:H,/A:H
CVE-2012-2092,"A Security Bypass vulnerability exists in Ubuntu Cobbler before 2,2,2 in the cobbler-ubuntu-import script due to an error when verifying the GPG signature.",5.9,AV:N,AC:H,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-2130,A Security Bypass vulnerability exists in PolarSSL 0.99pre4 through 1.1.1 due to a weak encryption error when generating Diffie-Hellman values and RSA keys.,7.4,AV:N,AC:H,PR:N,UI:N,/S:U,/C:H,/I:H,/A:N
CVE-2012-2142,The error function in Error.cc in poppler before 0.21.4 allows remote attackers to execute arbitrary commands via a PDF containing an escape sequence for a terminal emulator.,7.8,AV:L,AC:L,PR:N,UI:R,/S:U,/C:H,/I:H,/A:H
CVE-2012-2148,An issue exists in the property replacements feature in any descriptor in JBoxx AS 7.1.1 ignores java security policies,3.3,AV:L,AC:L,PR:L,UI:N,/S:U,/C:L,/I:N,/A:N
CVE-2012-2166,"IBM XIV Storage System 2810-A14 and 2812-A14 devices before level 10.2.4.e-2 and 2810-114 and 2812-114 devices before level 11.1.1 have hardcoded passwords for unspecified accounts, which allows remote attackers to gain user access via unknown vectors. IBM X-Force ID: 75041.",9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-2226,Invision Power Board before 3.3.1 fails to sanitize user-supplied input which could allow remote attackers to obtain sensitive information or execute arbitrary code by uploading a malicious file.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-2237,"Multiple cross-site scripting (XSS) vulnerabilities in Mahara 1.4.x before 1.4.3 and 1.5.x before 1.5.2 allow remote attackers to inject arbitrary web script or HTML via vectors related to (1) javascript innerHTML as used when generating login forms, (2) links or (3) resources URLs, and (4) the Display name in a user profile.",6.1,AV:N,AC:L,PR:N,UI:R,/S:C,/C:L,/I:L,/A:N
CVE-2012-2238,trytond 2.4: ModelView.button fails to validate authorization,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2012-2248,An issue was discovered in dhclient 4.3.1-6 due to an embedded path variable.,8.1,AV:N,AC:H,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-2312,"An Elevated Privileges issue exists in JBoss AS 7 Community Release due to the improper implementation in the security context propagation, A threat gets reused from the thread pool that still retains the security context from the process last used, which lets a local user obtain elevated privileges.",7.8,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2012-2350,pam_shield before 0.9.4: Default configuration does not perform protective action,7.5,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:H,/A:N
